ID,Name,Concepticon_ID,Concepticon_Gloss,Gloss,Number
1_i,I,1209,I,,1
2_thou,you (singular),1215,THOU,,2
3_heorshe,he,2642,HE OR SHE,,3
4_weinclusive,we,1131,WE (INCLUSIVE),,4
5_you,you (plural),1213,YOU,,5
6_they,they,817,THEY,,6
7_this,this,1214,THIS,,7
8_that,that,78,THAT,,8
9_here,here,136,HERE,,9
10_there,there,1937,THERE,,10
11_who,who,1235,WHO,,11
12_what,what,1236,WHAT,,12
13_where,where,1237,WHERE,,13
14_when,when,1238,WHEN,,14
15_how,how,1239,HOW,,15
16_not,not,1240,NOT,,16
17_all,all,98,ALL,,17
18_many,many,1198,MANY,,18
19_some,some,1241,SOME,,19
20_few,few,1242,FEW,,20
21_one,one,1493,ONE,,21
22_two,two,1498,TWO,,22
23_three,three,492,THREE,,23
24_four,four,1500,FOUR,,24
25_five,five,493,FIVE,,25
26_big,big,1202,BIG,,26
27_long,long,1203,LONG,,27
28_broadorwide,wide,2652,BROAD OR WIDE,,28
29_thick,thick,1244,THICK,,29
30_heavy,heavy,1210,HEAVY,,30
31_small,small,1246,SMALL,,31
32_tall,tall,711,TALL,,32
33_short,short,1645,SHORT,,33
34_narrow,narrow,1267,NARROW,,34
35_thin,thin,2308,THIN,,35
36_girl,girl,1646,GIRL,,36
37_boy,boy,1366,BOY,,37
38_person,man (human being),683,PERSON,,38
39_child,child,2099,CHILD,,39
40_wife,wife,1199,WIFE,,40
41_husband,husband,1200,HUSBAND,,41
42_mother,mother,1216,MOTHER,,42
43_father,father,1217,FATHER,,43
44_animal,animal,619,ANIMAL,,44
45_fish,fish,227,FISH,,45
46_bird,bird,937,BIRD,,46
47_dog,dog,2009,DOG,,47
48_deer,deer,1936,DEER,,48
49_rabbit,rabbit,1136,RABBIT,,49
50_goat,goat,1502,GOAT,,50
51_pig,pig,1337,PIG,,51
52_headlouse,louse,310,HEAD LOUSE,,52
53_snake,snake,730,SNAKE,,53
54_tree,tree,906,TREE,,54
55_forest,forest,420,FOREST,,55
56_stick,stick,1295,STICK,,56
57_fruit,fruit,1507,FRUIT,,57
58_mango,mango,2398,MANGO,,58
59_seed,seed,714,SEED,,59
60_leaf,leaf,628,LEAF,,60
61_root,root,670,ROOT,,61
62_bark,bark (of a tree),1204,BARK,,62
63_flower,flower,239,FLOWER,,63
64_grass,grass,606,GRASS,,64
65_rope,rope,1218,ROPE,,65
66_skinhuman,skin,2613,SKIN (HUMAN),,66
67_meat,meat,634,MEAT,,67
68_blood,blood,946,BLOOD,,68
69_bone,bone,1394,BONE,,69
70_fatfornourishment,fat (noun),2095,FAT (FOR NOURISHMENT),,70
71_egg,egg,744,EGG,,71
72_hornanatomy,horn,1393,HORN (ANATOMY),,72
73_tail,tail,1220,TAIL,,73
74_hair,hair,1040,HAIR,,74
75_head,head,1256,HEAD,,75
76_ear,ear,1247,EAR,,76
77_eye,eye,1248,EYE,,77
78_nose,nose,1221,NOSE,,78
79_mouth,mouth,674,MOUTH,,79
80_lip,lips,478,LIP,,80
81_tooth,tooth,1380,TOOTH,,81
82_tongue,tongue (organ),1205,TONGUE,,82
83_fingernail,fingernail,1258,FINGERNAIL,,83
84_leg,leg,1297,LEG,,84
85_knee,knee,1371,KNEE,,85
86_hand,hand,1277,HAND,,86
87_wing,wing,1257,WING,,87
88_belly,belly,1251,BELLY,,88
89_guts,guts,1334,GUTS,,89
90_neck,neck,1333,NECK,,90
91_backdirection,back,2910,BACK (DIRECTION),,91
92_chest,breast,1592,CHEST,,92
93_heart,heart,1223,HEART,,93
94_liver,liver,1224,LIVER,,94
95_drink,to drink,1401,DRINK,,95
96_eat,to eat,1336,EAT,,96
97_bite,to bite,1403,BITE,,97
98_suck,to suck,1421,SUCK,,98
99_spit,to spit,1440,SPIT,,99
100_vomit,to vomit,1278,VOMIT,,100
101_blowwithmouth,to blow,176,BLOW (WITH MOUTH),,101
