ID,Name,Concepticon_ID,Concepticon_Gloss,Gloss,Number
102_breathe,to breathe,1407,BREATHE,,102
103_laugh,to laugh,1355,LAUGH,,103
104_see,to see,1409,SEE,,104
105_listen,to hear,1608,LISTEN,,105
106_knowsomething,to know,1410,KNOW (SOMETHING),,106
107_think,to think,2271,THINK,,107
108_fearbeafraid,to fear,1419,FEAR (BE AFRAID),,108
109_sleep,to sleep,1585,SLEEP,,109
110_dwelllivereside,to live,363,"DWELL (LIVE, RESIDE)",,110
111_die,to die,1494,DIE,,111
112_fight,to fight,1423,FIGHT,,112
113_hit,to hit,1433,HIT,,113
114_cut,to cut,1432,CUT,,114
115_split,to split,1437,SPLIT,,115
116_stabtodeath,to stab,3189,STAB TO DEATH,,116
117_scratch,to scratch,1436,SCRATCH,,117
118_dig,to dig,1418,DIG,,118
119_swim,to swim,1439,SWIM,,119
120_flymovethroughair,to fly,1441,FLY (MOVE THROUGH AIR),,120
121_walk,to walk,1443,WALK,,121
122_come,to come,1446,COME,,122
123_liedown,to lie (as in a bed),215,LIE DOWN,,123
124_sit,to sit,1416,SIT,,124
125_turn,to turn (intransitive),1588,TURN,,125
126_fall,to fall,1280,FALL,,126
127_catch,to catch,702,CATCH,,127
128_squeeze,to squeeze,1414,SQUEEZE,,128
129_wash,to wash,1453,WASH,,129
130_wipe,to wipe,1454,WIPE,,130
131_push,to push,1452,PUSH,,131
132_fasten,to tie,1094,FASTEN,,132
133_sew,to sew,1457,SEW,,133
134_count,to count,1420,COUNT,,134
135_speak,to say,1623,SPEAK,,135
136_sing,to sing,1261,SING,,136
137_play,to play,1413,PLAY,,137
138_float,to float,1574,FLOAT,,138
139_flow,to flow,2003,FLOW,,139
140_freeze,to freeze,1431,FREEZE,,140
141_swell,to swell,1573,SWELL,,141
142_sun,sun,1343,SUN,,142
143_moon,moon,1313,MOON,,143
144_star,star,1430,STAR,,144
145_water,water,948,WATER,,145
146_rainprecipitation,rain,658,RAIN (PRECIPITATION),,146
147_river,river,666,RIVER,,147
148_pond,pond,2035,POND,,148
149_salt,salt,1274,SALT,,149
150_stoneorrock,stone,2125,STONE OR ROCK,,150
151_sand,sand,671,SAND,,151
152_dust,dust,2,DUST,,152
153_ground,earth,2159,GROUND,,153
154_stormclouds,cloud,448,STORM CLOUDS,,154
155_fog,fog,249,FOG,,155
156_wind,wind,960,WIND,,156
157_ice,ice,617,ICE,,157
158_smokeexhaust,smoke,778,SMOKE (EXHAUST),,158
159_fire,fire,221,FIRE,,159
160_ash,ash,646,ASH,,160
161_burn,to burn,2102,BURN,,161
162_pathorroad,road/path,2457,PATH OR ROAD,,162
163_mountainorhill,mountain/hill,2118,MOUNTAIN OR HILL,,163
164_red,red,156,RED,,164
165_green,green,1425,GREEN,,165
166_yellow,yellow,1424,YELLOW,,166
167_white,white,1335,WHITE,,167
168_black,black,163,BLACK,,168
169_night,night,1233,NIGHT,,169
170_day24hours,day,1260,DAY (24 HOURS),,170
171_year,year,1226,YEAR,,171
172_today,today,1283,TODAY,,172
173_tomorrow,tomorrow,1329,TOMORROW,,173
174_yesterday,yesterday,1174,YESTERDAY,,174
175_hotorwarm,warm,2272,HOT OR WARM,,175
176_coldofweather,cold,2483,COLD (OF WEATHER),,176
177_full,full,1429,FULL,,177
178_new,new,1231,NEW,,178
179_old,old,1229,OLD,,179
180_good,good,1035,GOOD,,180
181_bad,bad,1292,BAD,,181
182_rotten,rotten,1728,ROTTEN,,182
183_dirty,dirty,1230,DIRTY,,183
184_straight,straight,1404,STRAIGHT,,184
185_sphericalroundinthreedimensions,round,2303,SPHERICAL (ROUND IN THREE DIMENSIONS),,185
186_square,square,850,SQUARE,,186
187_sharp,sharp (as a knife),1396,SHARP,,187
188_blunt,dull (as a knife),379,BLUNT,,188
189_wet,wet,1726,WET,,189
190_dry,dry,1398,DRY,,190
191_correctright,correct,1725,CORRECT (RIGHT),,191
192_near,near,1942,NEAR,,192
193_far,far,1406,FAR,,193
194_right,right,1019,RIGHT,,194
195_left,left,244,LEFT,,195
196_at,at,1461,AT,,196
197_in,in,1460,IN,,197
198_with,with,1340,WITH,,198
199_and,and,1577,AND,,199
200_name,name,1405,NAME,,200
