CONCEPT,FORM,PAGE
I,iŋ,45
you (singular),am,
he,ae,
we,abu,
you (plural),am,
they,aku,
this,niya,
that,hona,
here,noaʔɽe,
there,honaʔɽe,
who,oke,
what,etan,
where,okaɽe,
when,okahila,
how,etalakan,
not,kae,
all,jamma,
many,jameku,
some,kaʈiʔ,
few,tʰoɽe,
one,miyaɖ,
two,bariya,
three,peya,
four,cair,
five,pac,
big,baɽe,
long,jiliŋ,
wide,cakeɽ,
thick,gaɽha,
heavy,bojʰ,
small,cʰoʈe,
tall,usul,
short,ʈʰepre,
narrow,sakuɽ,
thin,patla,
girl,kuɽi,
boy,koɽɑ,
man (human being),hoɽ,
child,ceŋa,
wife,hoɽaʔ,
husband,hoɽ,
mother,aya,
father,baba,
animal,janwar,46
fish,haku,
bird,oɽe,
dog,seta,
deer,saram,
rabbit,kulahi,
goat,merom,
pig,sukri,
louse,siku,
snake,biŋ,
tree,siŋ,
forest,buru,
stick,hapa,
fruit,joʔ,
mango,ul,
seed,bihin,
leaf,sekam,
root,jaiɽ,
bark (of a tree),bakla,
flower,baha,
grass,gʰas,
rope,bayor,
skin,harta,
meat,sikar,
blood,mayom,
bone,jaŋ,
fat (noun),itil,
egg,bili,
horn,diriŋ,
tail,calom,
hair,ub,
head,boho,
ear,lutur,
eye,meɖ,
nose,muhu,
mouth,aha,
lips,lucir,
tooth,ɖaʈa,
tongue (organ),alaŋ,
fingernail,rama,
leg,jaŋga,
knee,mukɽi,
hand,ti,
wing,apaɽa,
belly,lahiʔg,
guts,poʈa,
neck,hoʈoʔ,
back,dea,
breast,cʰati,
heart,iyaʔ,
liver,karja,
to drink,nu,
to eat,jom,
to bite,hab,
to suck,cepeʔg,
to spit,beʔg,
to vomit,cʰaʈ,
to blow,om,
to breathe,sas,
to laugh,landa,
to see,nel,
to hear,ayum,
to know,paɽi,
to think,uihar,
to fear,bor,
to sleep,nind,
to live,jiuɖ,
to die,goeʔg,
to fight,jʰagɽa,
to hit,ɖʰesa,
to cut,geɖ,
to split,rupuɽ,
to stab,jobao,
to scratch,godar,
to dig,gotaʔ,
to swim,paurao,
to fly,otaŋ,
to walk,sen,
to come,hijoʔ,
to lie (as in a bed),gitiʔg,
to sit,duɽuʔ,
to turn (intransitive),muhaɖ,
to fall,uyuʔ,
to catch,sab,
to squeeze,cipuɖ,
to wash,dʰoao,
to wipe,joʔ,
to push,tukun,
to tie,tol,47
to sew,roʔ,
to count,lekʰa,
to say,kahɽi,
to sing,siriŋ,
to play,eneʔg,
to float,capi,
to flow,tu,
to freeze,jamao,
to swell,mo,
sun,din boŋa,
moon,canu,
star,ipil,
water,daʔ,
rain,barkʰa,
river,nai,
pond,pokʰra,
salt,buluŋ,
stone,ʈuku,
sand,bitil,
dust,dʰuɽi,
earth,ot,
cloud,badri,
fog,dhʰudʰ,
wind,hoe,
ice,rataŋ,
smoke,sukul,
fire,seŋgel,
ash,toreʔg,
to burn,jul,
road/path,hora,
mountain/hill,buru,
red,lal,
green,hariar,
yellow,sasaŋ,
white,puɽi,
black,kaɽia,
night,nida,
day,din,
year,sal,
today,tisiŋ,
tomorrow,gapa,
yesterday,hola,
warm,lolo,
cold,tʰaɽ,
full,pereʔg,
new,nawa,
old,mari,
good,baɽʰiya,
bad,kʰarab,
rotten,sia,
dirty,gadus,
straight,sojʰ,
round,gutaɽ,
square,caukuʈ,
sharp (as a knife),dʰar,
dull (as a knife),bokʰa,
wet,lepa,
dry,rohoɽ,
correct,tʰik,
near,hinaɖ,
far,laŋka,
right,jom,
left,peŋka,
at,re,
in,re,
with,lo,
and,hetra,
name,numu,
